"","Estimate","Est.Error","Q2.5","Q5","Q10","Q90","Q95","Q97.5"
"b_slp:era1989M2013337",0.00546601829456181,1.16470970838702,-2.39965698118526,-2.00374112531013,-1.55862590931714,1.45506781046963,1.7965900688914,2.11488636302617
"b_slp:era1989M2013338",0.619630360041566,1.12506933565347,-1.64295143415846,-1.24110124750413,-0.865467234061981,2.08047263784522,2.47005812196446,2.69342182313897
"b_slp:era1989M2013339",1.55034885125207,1.09206613530394,-0.595117639718979,-0.305086377918468,0.108095594807376,2.97068534606124,3.29764304700476,3.60110844557719
"b_slp:era1989M2013340",1.18344620866607,0.871572467020119,-0.494760930714445,-0.256310600299082,0.098792083318169,2.33113720988088,2.66461078327561,2.85789598048978
"b_slp:era1989M2013341",0.768880478676329,0.705742517893441,-0.580464308579638,-0.411705032312885,-0.148098807377825,1.66856376225084,1.90296643588277,2.15630581640462
"b_slp:era1989M2013342",0.594946493016863,0.579092157140223,-0.522659018349337,-0.352494484332491,-0.140988158465709,1.33698071043089,1.56329569137925,1.73194219605956
"b_slp:era1989M2013343",0.534253334212489,0.545365916899502,-0.55057257650377,-0.339629160305771,-0.152087919138283,1.25007757892327,1.45234191186202,1.61021523667139
"b_slp:era1989M2013344",0.440363603507751,0.508353500454812,-0.567004702808924,-0.403319555639848,-0.206036659696166,1.06697118917412,1.24847642990065,1.42829253361246
"b_slp:era1989M2013345",0.328079349622984,0.456180969330965,-0.585360213232963,-0.431423930956923,-0.246710891129509,0.916045077145896,1.04947688485986,1.19541024730118
"b_slp:era1989M2013346",0.240560404089015,0.425036243872749,-0.590117870161596,-0.442520743044011,-0.28649461628237,0.804531088313403,0.936882382075513,1.06096740150006
"b_slp:era1989M2013347",0.129987618184838,0.422814592332478,-0.689537532500391,-0.574780827814163,-0.41044272523992,0.669141305755849,0.812221864316845,0.93663843989634
"b_slp:era1989M2013348",0.122533810444208,0.417890937364448,-0.695078369141987,-0.540016545988196,-0.420429311824594,0.655082218520533,0.820827205272147,0.975047291460227
"b_slp:era1989M2013349",0.0873358938483097,0.39942307003694,-0.685563837307023,-0.559371386357531,-0.431986564249566,0.598120379684676,0.777794894527919,0.87986709489188
"b_slp:era1989M2013350",0.0352913723999764,0.398830612261988,-0.737631568080675,-0.616749879422846,-0.472266235301495,0.545942590287501,0.68798476606743,0.834896545039067
"b_slp:era1989M2013351",-0.0283786317434727,0.391966498234679,-0.80546985159231,-0.675691809234529,-0.5170751130002,0.46537442743586,0.621806622720578,0.775505663840271
"b_slp:era1989M2013352",-0.0250585055904424,0.406494550230695,-0.835402303704804,-0.70158050694402,-0.528933173372662,0.483912678150451,0.630179413773013,0.78134577694424
"b_slp:era1989M2013353",-0.0969094258006308,0.440904564353296,-0.988211342263686,-0.827259579633,-0.659908879385673,0.478974745218246,0.629514230687103,0.73164674702467
"b_slp:era1989M2013354",-0.113298502361805,0.426212811344933,-0.995914465923649,-0.843516489155997,-0.645976631939831,0.428873131957529,0.570457162829403,0.683171186326164
"b_slp:era1989M2013355",-0.154640897262316,0.439001517867221,-1.00847426079618,-0.87822157306982,-0.718179730585946,0.402361214255005,0.561547394395732,0.729673681292472
"b_slp:era1989M2013356",-0.258837390524918,0.472767962697776,-1.14425843115891,-1.0169120011465,-0.8464706760652,0.355785076422957,0.51517779995059,0.674327989741121
"b_slp:era1989M2013357",-0.838740829230721,1.10161135593195,-3.01649260471886,-2.64041662208934,-2.2725329041234,0.569490495754186,0.964909567335596,1.31263980343923
"b_slp:era1989M2013358",-0.13685818019746,1.19127925707326,-2.50199613031618,-2.09388669750449,-1.6757756706602,1.37296353446732,1.71798356587007,2.10198876088818
