Date,ALBSA
8/1/2001,107.129
9/1/2001,16.567
10/1/2001,-40.097
11/1/2001,-110.133
12/1/2001,-83.645
1/1/2002,-51.871
2/1/2002,-96.857
3/1/2002,118.161
4/1/2002,162.7
5/1/2002,68.903
6/1/2002,14.833
7/1/2002,110.742
8/1/2002,36.097
9/1/2002,144.3
10/1/2002,-67.355
11/1/2002,-213.3
12/1/2002,-38.194
1/1/2003,-172.935
2/1/2003,-105.464
3/1/2003,-28.548
4/1/2003,94.5
5/1/2003,32
6/1/2003,21.1
7/1/2003,137.194
8/1/2003,90.774
9/1/2003,-15.633
10/1/2003,-92.032
11/1/2003,274.933
12/1/2003,15.194
1/1/2004,-166.097
2/1/2004,-165.828
3/1/2004,5.774
4/1/2004,-10.9
5/1/2004,41.129
6/1/2004,13.467
7/1/2004,122.161
8/1/2004,68.677
9/1/2004,79.8
10/1/2004,41.226
11/1/2004,65.833
12/1/2004,-10.064
1/1/2005,20.581
2/1/2005,-61.643
3/1/2005,-96.387
4/1/2005,-42.933
5/1/2005,-148.129
6/1/2005,-4.933
7/1/2005,20.871
8/1/2005,125.29
9/1/2005,115.867
10/1/2005,11.129
11/1/2005,-89.833
12/1/2005,-218.774
1/1/2006,-90.903
2/1/2006,194.714
3/1/2006,80.129
4/1/2006,-30.6
5/1/2006,52.484
6/1/2006,70.567
7/1/2006,70.871
8/1/2006,66.258
9/1/2006,9.4
10/1/2006,77.581
11/1/2006,-43.3
12/1/2006,-70.484
1/1/2007,-13.129
2/1/2007,-17.179
3/1/2007,16.774
4/1/2007,-172.467
5/1/2007,-11.613
6/1/2007,38.233
7/1/2007,3.774
8/1/2007,108.097
9/1/2007,102.333
10/1/2007,-72.193
11/1/2007,-28.3
12/1/2007,-29.032
1/1/2008,131.71
2/1/2008,-92.483
3/1/2008,-163.968
4/1/2008,110.333
5/1/2008,-115.903
6/1/2008,76.7
7/1/2008,52.161
8/1/2008,-33.516
9/1/2008,12.4
10/1/2008,31.193
11/1/2008,-83.533
12/1/2008,63.903
1/1/2009,-92.839
2/1/2009,290.036
3/1/2009,-48.226
4/1/2009,114.267
5/1/2009,92.71
6/1/2009,-51.7
7/1/2009,42.323
8/1/2009,110.742
9/1/2009,-61.1
10/1/2009,-60.871
11/1/2009,-32.667
12/1/2009,-112.677
1/1/2010,-145.29
2/1/2010,-196.5
3/1/2010,-60.29
4/1/2010,1.267
5/1/2010,-130.581
6/1/2010,-18.2
7/1/2010,76.581
8/1/2010,153.871
9/1/2010,79.267
10/1/2010,-139.839
11/1/2010,55.9
12/1/2010,-33.516
1/1/2011,-14.871
2/1/2011,275.964
3/1/2011,26.484
4/1/2011,-26.267
5/1/2011,-7.097
6/1/2011,22.067
7/1/2011,107.452
8/1/2011,63.322
9/1/2011,-67.033
10/1/2011,23.452
11/1/2011,89.5
12/1/2011,19.258
1/1/2012,-77.387
2/1/2012,-26.862
3/1/2012,-34.29
4/1/2012,-69.1
5/1/2012,-82.968
6/1/2012,64.667
7/1/2012,117.323
8/1/2012,158.935
9/1/2012,-10.033
10/1/2012,2.355
11/1/2012,-87.833
12/1/2012,-24.484
1/1/2013,-116.935
2/1/2013,-102.786
3/1/2013,110.581
4/1/2013,-72.567
5/1/2013,34.226
6/1/2013,86.3
7/1/2013,167.484
8/1/2013,51.484
9/1/2013,20.8
10/1/2013,27.323
11/1/2013,178.6
12/1/2013,7.581
1/1/2014,-33.452
2/1/2014,-110.786
3/1/2014,-41.645
4/1/2014,-36.033
5/1/2014,150.742
6/1/2014,19.367
7/1/2014,71.323
8/1/2014,16.774
9/1/2014,21.567
10/1/2014,-92.395
11/1/2014,-58.467
12/1/2014,-99.919
1/1/2015,-82.185
2/1/2015,-64.527
3/1/2015,-34.903
4/1/2015,-31.575
5/1/2015,61.355
6/1/2015,87.825
7/1/2015,26.702
8/1/2015,153.242
9/1/2015,62.408
10/1/2015,-52.21
11/1/2015,73.6
12/1/2015,-105.363
1/1/2016,-231.831
2/1/2016,-229.595
3/1/2016,-200.266
4/1/2016,-216.392
5/1/2016,35.823
6/1/2016,98.508
7/1/2016,147.984
8/1/2016,99.71
9/1/2016,107.433
10/1/2016,52.315
11/1/2016,-70.5
12/1/2016,184.186
1/1/2017,104.145
2/1/2017,125.938
3/1/2017,32.637
4/1/2017,-55.7
5/1/2017,-8.266
